text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon
..;,"Masekhet: 71001, Page: 029, Side: 1, Line: 44, Word: 4",No data,,,,,;,No data
mtqyP,"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 0",verb C,,,,,מתקיף,verb C
lh,"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 1",p02,,,,,לה,p02
mr zwTr);,"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 2",No data,,,,,מר זוטרא;,No data
wnkllh,"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 3",c,verb G,,,,ונכללה,c | verb G
..;,"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 4",No data,,,,,;,No data
dylm),"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 5",c,,,,,דילמא,c
)ty,"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 6",verb G,,,,,אתי,verb G
l)yTrwdy;,"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 7",p02,verb Gt,,,,לאיטרודי;,p02 | verb Gt
)y,"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 8",c,,,,,אי,c
hky,"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 9",X,,,,,הכי,X
"""hbdlh","Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 10",No data,,,,,הבדלה,No data
bxwnN,"Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 11",No data,,,,,בחונן,No data
"hd(t""","Masekhet: 71001, Page: 029, Side: 1, Line: 46, Word: 12",No data,,,,,הדעת,No data
nmy,"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 0",a,,,,,נמי,a
dylm),"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 1",c,,,,,דילמא,c
)ty,"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 2",verb G,,,,,אתי,verb G
l)yTrwdy;,"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 3",p02,verb Gt,,,,לאיטרודי;,p02 | verb Gt
)mry;,"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 4",verb G,,,,,אמרי;,verb G
htM,"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 5",a,,,,,התם,a
kywN,"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 6",c,,,,,כיון,c
{{dlytyh}},"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 7",c,V,,,,דליתיה,c | V
^d)ty^,"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 8",c,verb G,,,,דאתי,c | verb G
b)mc(,"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 9",p,,,,,באמצע,p
clwtyh,"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 10",noun sg. emphatic,,,,,צלותיה,noun sg. emphatic
mTryd,"Masekhet: 71001, Page: 029, Side: 1, Line: 47, Word: 11",verb Gt,,,,,מטריד,verb Gt
"""bcybwr""","Masekhet: 71001, Page: 029, Side: 1, Line: 55, Word: 0",No data,,,,,בציבור,No data
m'T,"Masekhet: 71001, Page: 029, Side: 1, Line: 55, Word: 1",noun sg. emphatic,,,,,מ'ט,noun sg. emphatic
l);,"Masekhet: 71001, Page: 029, Side: 1, Line: 55, Word: 2",a,,,,,לא;,a
m$wM,"Masekhet: 71001, Page: 029, Side: 1, Line: 55, Word: 3",c,,,,,משום,c
d$m(h,"Masekhet: 71001, Page: 029, Side: 1, Line: 55, Word: 4",c,verb G,,,,דשמעה,c | verb G
m$lyx' dcybwr);,"Masekhet: 71001, Page: 029, Side: 1, Line: 55, Word: 5",noun sg. emphatic,,,,,משליח' דציבורא;,noun sg. emphatic
)y,"Masekhet: 71001, Page: 029, Side: 1, Line: 55, Word: 6",c,,,,,אי,c
hky,"Masekhet: 71001, Page: 029, Side: 1, Line: 55, Word: 7",X,,,,,הכי,X
h)y,"Masekhet: 71001, Page: 029, Side: 1, Line: 55, Word: 8",P01,,,,,האי,P01
"""mpny","Masekhet: 71001, Page: 029, Side: 1, Line: 55, Word: 9",No data,,,,,מפני,No data
myb(y,"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 0",verb Gt,,,,,מיבעי,verb Gt
lyh;,"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 1",p02,,,,,ליה;,p02
)l),"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 2",c,,,,,אלא,c
)ydy,"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 3",P01,,,,,אידי,P01
w)ydy,"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 4",c,P01,,,,ואידי,c | P01
"""byxyd""","Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 5",No data,,,,,ביחיד,No data
wl),"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 6",c,a,,,,ולא,c | a
q$y);,"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 7",A01,,,,,קשיא;,A01
h),"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 8",P,,,,,הא,P
d)ydkr,"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 9",verb Gt,,,,,דאידכר,verb Gt
lyh,"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 10",p,,,,,ליה,p
mqmy,"Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 11",p01,,,,,מקמי,p01
"""$wm(","Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 12",No data,,,,,שומע,No data
"tplh"";","Masekhet: 71001, Page: 029, Side: 1, Line: 56, Word: 13",No data,,,,,תפלה;,No data
h),"Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 0",P,,,,,הא,P
d)ydkr,"Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 1",verb Gt,,,,,דאידכר,verb Gt
lyh,"Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 2",p02,,,,,ליה,p02
lbtr,"Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 3",p01,,,,,לבתר,p01
"""$wm(","Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 4",No data,,,,,שומע,No data
"tpylh"";","Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 5",No data,,,,,תפילה;,No data
w)y,"Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 6",c,c,,,,ואי,c | c
)ydkr,"Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 7",verb Gt,,,,,אידכר,verb Gt
mbtr,"Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 8",p01,,,,,מבתר,p01
"""$m(","Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 9",No data,,,,,שמע,No data
tplh,"Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 10",No data,,,,,תפלה,No data
xwzr,"Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 11",No data,,,,,חוזר,No data
"lr)$"";","Masekhet: 71001, Page: 029, Side: 2, Line: 01, Word: 12",No data,,,,,לראש;,No data
mn),"Masekhet: 71001, Page: 029, Side: 2, Line: 09, Word: 0",a,,,,,מנא,a
h),"Masekhet: 71001, Page: 029, Side: 2, Line: 09, Word: 1",P01,,,,,הא,P01
lK;,"Masekhet: 71001, Page: 029, Side: 2, Line: 09, Word: 2",p02,,,,,לך;,p02
)m',"Masekhet: 71001, Page: 029, Side: 2, Line: 09, Word: 3",verb G,,,,,אמ',verb G
lhw;,"Masekhet: 71001, Page: 029, Side: 2, Line: 09, Word: 4",p,,,,,להו;,p
m)b),"Masekhet: 71001, Page: 029, Side: 2, Line: 09, Word: 5",noun sg. emphatic,,,,,מאבא,noun sg. emphatic
mry,"Masekhet: 71001, Page: 029, Side: 2, Line: 09, Word: 6",noun sg. abs. or construct,,,,,מרי,noun sg. abs. or construct
$my(,"Masekhet: 71001, Page: 029, Side: 2, Line: 09, Word: 7",verb G,,,,,שמיע,verb G
ly;,"Masekhet: 71001, Page: 029, Side: 2, Line: 09, Word: 8",p02,,,,,לי;,p02
w)b),"Masekhet: 71001, Page: 029, Side: 2, Line: 09, Word: 9",c,noun sg. emphatic,,,,ואבא,c | noun sg. emphatic
mry,"Masekhet: 71001, Page: 029, Side: 2, Line: 10, Word: 0",noun sg. abs. or construct,,,,,מרי,noun sg. abs. or construct
mrb,"Masekhet: 71001, Page: 029, Side: 2, Line: 10, Word: 1",p,,,,,מרב,p
h),"Masekhet: 71001, Page: 029, Side: 2, Line: 10, Word: 2",I,,,,,הא,I
)n),"Masekhet: 71001, Page: 029, Side: 2, Line: 23, Word: 0",P01,,,,,אנא,P01
ykyln),"Masekhet: 71001, Page: 029, Side: 2, Line: 24, Word: 0",verb G,,,,,יכילנא,verb G
lxdwty;,"Masekhet: 71001, Page: 029, Side: 2, Line: 24, Word: 1",p02,verb C,,,,לחדותי;,p02 | verb C
w)y,"Masekhet: 71001, Page: 029, Side: 2, Line: 24, Word: 2",c,c,,,,ואי,c | c
mxdtn),"Masekhet: 71001, Page: 029, Side: 2, Line: 24, Word: 3",verb D,,,,,מחדתנא,verb D
my,"Masekhet: 71001, Page: 029, Side: 2, Line: 25, Word: 0",c,,,,,מי,c
Trydn),"Masekhet: 71001, Page: 029, Side: 2, Line: 25, Word: 1",verb G,,,,,טרידנא,verb G
ly^y^Ty,"Masekhet: 71001, Page: 029, Side: 2, Line: 30, Word: 0",verb G,,,,,לייטי,verb G
(lh,"Masekhet: 71001, Page: 029, Side: 2, Line: 30, Word: 1",p02,,,,,עלה,p02
bm(rb),"Masekhet: 71001, Page: 029, Side: 2, Line: 30, Word: 2",p02,noun sg. emphatic,,,,במערבא,p02 | noun sg. emphatic
m)N,"Masekhet: 71001, Page: 029, Side: 2, Line: 30, Word: 3",P01,,,,,מאן,P01
dmcly,"Masekhet: 71001, Page: 029, Side: 2, Line: 30, Word: 4",c,verb D,,,,דמצלי,c | verb D
(M,"Masekhet: 71001, Page: 029, Side: 2, Line: 30, Word: 5",p01,,,,,עם,p01
"""dmdwmy","Masekhet: 71001, Page: 029, Side: 2, Line: 30, Word: 6",No data,,,,,דמדומי,No data
"xmh""","Masekhet: 71001, Page: 029, Side: 2, Line: 30, Word: 7",No data,,,,,חמה,No data
)'l,"Masekhet: 71001, Page: 029, Side: 2, Line: 45, Word: 0",verb G,,,,,א'ל,verb G
)lyhw,"Masekhet: 71001, Page: 029, Side: 2, Line: 45, Word: 1",No data,,,,,אליהו,No data
lrb,"Masekhet: 71001, Page: 029, Side: 2, Line: 45, Word: 2",p03,noun sg. emphatic,,,,לרב,p03 | noun sg. emphatic
yhwdh,"Masekhet: 71001, Page: 029, Side: 2, Line: 45, Word: 3",No data,,,,,יהודה,No data
)xwh,"Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 0",noun sg. emphatic,,,,,אחוה,noun sg. emphatic
drb,"Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 1",p,noun sg. emphatic,,,,דרב,p | noun sg. emphatic
sl),"Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 2",No data,,,,,סלא,No data
xsyd);,"Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 3",N,,,,,חסידא;,N
l),"Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 4",a,,,,,לא,a
trwy,"Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 5",verb D,,,,,תרוי,verb D
"""wl)","Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 6",No data,,,,,ולא,No data
"txT)"";","Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 7",No data,,,,,תחטא;,No data
l),"Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 8",a,,,,,לא,a
trtx,"Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 9",verb G,,,,,תרתח,verb G
"""wl)","Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 10",No data,,,,,ולא,No data
"txT)"";","Masekhet: 71001, Page: 029, Side: 2, Line: 46, Word: 11",No data,,,,,תחטא;,No data
wny$t{t}yP,"Masekhet: 71001, Page: 030, Side: 1, Line: 01, Word: 0",c,verb Dt,,,,ונישתיף,c | verb Dt
)yny$,"Masekhet: 71001, Page: 030, Side: 1, Line: 01, Word: 1",noun sg. abs. or construct,,,,,איניש,noun sg. abs. or construct
np$yh,"Masekhet: 71001, Page: 030, Side: 1, Line: 01, Word: 2",noun sg. emphatic,,,,,נפשיה,noun sg. emphatic
bhdy,"Masekhet: 71001, Page: 030, Side: 1, Line: 01, Word: 3",p01,,,,,בהדי,p01
cybwr);,"Masekhet: 71001, Page: 030, Side: 1, Line: 01, Word: 4",noun sg. emphatic,,,,,ציבורא;,noun sg. emphatic
)ymty,"Masekhet: 71001, Page: 030, Side: 1, Line: 03, Word: 0",c,,,,,אימתי,c
mcly,"Masekhet: 71001, Page: 030, Side: 1, Line: 03, Word: 1",verb D,,,,,מצלי,verb D
lyh;,"Masekhet: 71001, Page: 030, Side: 1, Line: 03, Word: 2",p02,,,,,ליה;,p02
hyky,"Masekhet: 71001, Page: 030, Side: 1, Line: 06, Word: 0",a,,,,,היכי,a
mcly,"Masekhet: 71001, Page: 030, Side: 1, Line: 06, Word: 1",verb D,,,,,מצלי,verb D
lh;,"Masekhet: 71001, Page: 030, Side: 1, Line: 06, Word: 2",p02,,,,,לה;,p02
rb,"Masekhet: 71001, Page: 030, Side: 1, Line: 07, Word: 0",noun sg. emphatic,,,,,רב,noun sg. emphatic
$$t,"Masekhet: 71001, Page: 030, Side: 1, Line: 07, Word: 1",No data,,,,,ששת,No data
wrb,"Masekhet: 71001, Page: 030, Side: 1, Line: 07, Word: 2",c,noun sg. emphatic,,,,ורב,c | noun sg. emphatic
xsd),"Masekhet: 71001, Page: 030, Side: 1, Line: 08, Word: 0",No data,,,,,חסדא,No data
hww,"Masekhet: 71001, Page: 030, Side: 1, Line: 08, Word: 1",verb G,,,,,הוו,verb G
q),"Masekhet: 71001, Page: 030, Side: 1, Line: 08, Word: 2",a,,,,,קא,a
)zly,"Masekhet: 71001, Page: 030, Side: 1, Line: 08, Word: 3",verb G,,,,,אזלי,verb G
b)wrx);,"Masekhet: 71001, Page: 030, Side: 1, Line: 08, Word: 4",p02,noun sg. emphatic,,,,באורחא;,p02 | noun sg. emphatic
hwh,"Masekhet: 71001, Page: 030, Side: 1, Line: 08, Word: 5",verb G,,,,,הוה,verb G
q)y,"Masekhet: 71001, Page: 030, Side: 1, Line: 08, Word: 6",verb G,,,,,קאי,verb G
rb,"Masekhet: 71001, Page: 030, Side: 1, Line: 09, Word: 0",noun sg. emphatic,,,,,רב,noun sg. emphatic
xsd),"Masekhet: 71001, Page: 030, Side: 1, Line: 09, Word: 1",No data,,,,,חסדא,No data
wq),"Masekhet: 71001, Page: 030, Side: 1, Line: 09, Word: 2",c,a,,,,וקא,c | a
mcly,"Masekhet: 71001, Page: 030, Side: 1, Line: 09, Word: 3",verb D,,,,,מצלי,verb D
"""tplt","Masekhet: 71001, Page: 030, Side: 1, Line: 09, Word: 4",No data,,,,,תפלת,No data
"hdrK"";","Masekhet: 71001, Page: 030, Side: 1, Line: 09, Word: 5",No data,,,,,הדרך;,No data
)'l,"Masekhet: 71001, Page: 030, Side: 1, Line: 09, Word: 6",verb G,,,,,א'ל,verb G
rb,"Masekhet: 71001, Page: 030, Side: 1, Line: 09, Word: 7",noun sg. emphatic,,,,,רב,noun sg. emphatic
$$t,"Masekhet: 71001, Page: 030, Side: 1, Line: 09, Word: 8",No data,,,,,ששת,No data
l$m(yh;,"Masekhet: 71001, Page: 030, Side: 1, Line: 10, Word: 0",p03,noun sg. emphatic,,,,לשמעיה;,p03 | noun sg. emphatic
m)y,"Masekhet: 71001, Page: 030, Side: 1, Line: 10, Word: 1",P01,,,,,מאי,P01
q),"Masekhet: 71001, Page: 030, Side: 1, Line: 10, Word: 2",a,,,,,קא,a
(byd,"Masekhet: 71001, Page: 030, Side: 1, Line: 10, Word: 3",verb G,,,,,עביד,verb G
rb,"Masekhet: 71001, Page: 030, Side: 1, Line: 10, Word: 4",noun sg. emphatic,,,,,רב,noun sg. emphatic
xsd);,"Masekhet: 71001, Page: 030, Side: 1, Line: 10, Word: 5",No data,,,,,חסדא;,No data
)m',"Masekhet: 71001, Page: 030, Side: 1, Line: 10, Word: 6",verb G,,,,,אמ',verb G
lyh;,"Masekhet: 71001, Page: 030, Side: 1, Line: 11, Word: 0",p02,,,,,ליה;,p02
q)y,"Masekhet: 71001, Page: 030, Side: 1, Line: 11, Word: 1",verb G,,,,,קאי,verb G
wmcly,"Masekhet: 71001, Page: 030, Side: 1, Line: 11, Word: 2",c,verb D,,,,ומצלי,c | verb D
"""tplt","Masekhet: 71001, Page: 030, Side: 1, Line: 11, Word: 3",No data,,,,,תפלת,No data
"hdrK"";","Masekhet: 71001, Page: 030, Side: 1, Line: 11, Word: 4",No data,,,,,הדרך;,No data
)'l;,"Masekhet: 71001, Page: 030, Side: 1, Line: 11, Word: 5",verb G,,,,,א'ל;,verb G
)wqmN,"Masekhet: 71001, Page: 030, Side: 1, Line: 11, Word: 6",verb C,,,,,אוקמן,verb C
nmy,"Masekhet: 71001, Page: 030, Side: 1, Line: 11, Word: 7",a,,,,,נמי,a
ldydy,"Masekhet: 71001, Page: 030, Side: 1, Line: 11, Word: 8",p02,,,,,לדידי,p02
w)ycly;,"Masekhet: 71001, Page: 030, Side: 1, Line: 12, Word: 0",c,verb D,,,,ואיצלי;,c | verb D
wky,"Masekhet: 71001, Page: 030, Side: 1, Line: 14, Word: 0",c,c,,,,וכי,c | c
mTy,"Masekhet: 71001, Page: 030, Side: 1, Line: 14, Word: 1",verb G,,,,,מטי,verb G
lbytyh,"Masekhet: 71001, Page: 030, Side: 1, Line: 15, Word: 0",p03,noun sg. emphatic,,,,לביתיה,p03 | noun sg. emphatic
l),"Masekhet: 71001, Page: 030, Side: 1, Line: 15, Word: 1",a,,,,,לא,a
b(y,"Masekhet: 71001, Page: 030, Side: 1, Line: 15, Word: 2",verb G,,,,,בעי,verb G
lmyhdr,"Masekhet: 71001, Page: 030, Side: 1, Line: 15, Word: 3",p02,verb G,,,,למיהדר,p02 | verb G
wlclwyy;,"Masekhet: 71001, Page: 030, Side: 1, Line: 15, Word: 4",c,verb D,,,,ולצלויי;,c | verb D
""")bl","Masekhet: 71001, Page: 030, Side: 1, Line: 15, Word: 5",No data,,,,,אבל,No data
tplh,"Masekhet: 71001, Page: 030, Side: 1, Line: 15, Word: 6",No data,,,,,תפלה,No data
"qcrh""","Masekhet: 71001, Page: 030, Side: 1, Line: 15, Word: 7",No data,,,,,קצרה,No data
l),"Masekhet: 71001, Page: 030, Side: 1, Line: 16, Word: 0",a,,,,,לא,a
b(y,"Masekhet: 71001, Page: 030, Side: 1, Line: 16, Word: 1",verb G,,,,,בעי,verb G
l),"Masekhet: 71001, Page: 030, Side: 1, Line: 16, Word: 2",a,,,,,לא,a
tlt,"Masekhet: 71001, Page: 030, Side: 1, Line: 16, Word: 3",n01,,,,,תלת,n01
qmyyt),"Masekhet: 71001, Page: 030, Side: 1, Line: 16, Word: 4",A,,,,,קמייתא,A
wl),"Masekhet: 71001, Page: 030, Side: 1, Line: 16, Word: 5",c,a,,,,ולא,c | a
tlt,"Masekhet: 71001, Page: 030, Side: 1, Line: 17, Word: 0",n01,,,,,תלת,n01
btryyt);,"Masekhet: 71001, Page: 030, Side: 1, Line: 17, Word: 1",A05,,,,,בתרייתא;,A05
wky,"Masekhet: 71001, Page: 030, Side: 1, Line: 17, Word: 2",c,c,,,,וכי,c | c
mTy,"Masekhet: 71001, Page: 030, Side: 1, Line: 17, Word: 3",verb G,,,,,מטי,verb G
lbytyh,"Masekhet: 71001, Page: 030, Side: 1, Line: 17, Word: 4",p03,noun sg. emphatic,,,,לביתיה,p03 | noun sg. emphatic
b(y,"Masekhet: 71001, Page: 030, Side: 1, Line: 17, Word: 5",verb G,,,,,בעי,verb G
lmhdr,"Masekhet: 71001, Page: 030, Side: 1, Line: 17, Word: 6",p02,verb G,,,,למהדר,p02 | verb G
wlclwyy,"Masekhet: 71001, Page: 030, Side: 1, Line: 18, Word: 0",c,verb D,,,,ולצלויי,c | verb D
)bwh,"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 0",noun sg. emphatic,,,,,אבוה,noun sg. emphatic
d$mw)l,"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 1",p,,,,,דשמואל,p
wlwy,"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 2",c,,,,,ולוי,c
ky,"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 3",c,,,,,כי,c
hww,"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 4",verb G,,,,,הוו,verb G
b(w,"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 5",verb G,,,,,בעו,verb G
lmypq,"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 6",p02,,,,,למיפק,p02
b)rx),"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 7",p02,noun sg. emphatic,,,,בארחא,p02 | noun sg. emphatic
mqdmy,"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 8",verb C,,,,,מקדמי,verb C
wmcly;,"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 9",c,verb D,,,,ומצלי;,c | verb D
wky,"Masekhet: 71001, Page: 030, Side: 1, Line: 45, Word: 10",c,c,,,,וכי,c | c
hwh,"Masekhet: 71001, Page: 030, Side: 1, Line: 46, Word: 0",verb G,,,,,הוה,verb G
mTy,"Masekhet: 71001, Page: 030, Side: 1, Line: 46, Word: 1",verb G,,,,,מטי,verb G
"""zmN","Masekhet: 71001, Page: 030, Side: 1, Line: 46, Word: 2",No data,,,,,זמן,No data
"q'$""","Masekhet: 71001, Page: 030, Side: 1, Line: 46, Word: 3",No data,,,,,ק'ש,No data
qrw;,"Masekhet: 71001, Page: 030, Side: 1, Line: 46, Word: 4",verb G,,,,,קרו;,verb G
bm)y,"Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 0",p02,P01,,,,במאי,p02 | P01
q),"Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 1",a,,,,,קא,a
myplgy;,"Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 2",verb Gt,,,,,מיפלגי;,verb Gt
mr,"Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 3",noun sg. emphatic,,,,,מר,noun sg. emphatic
sbr,"Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 4",verb G,,,,,סבר,verb G
"""tplh","Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 5",No data,,,,,תפלה,No data
"m(wmd""","Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 6",No data,,,,,מעומד,No data
(dyP;,"Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 7",A01,,,,,עדיף;,A01
wmr,"Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 8",c,noun sg. emphatic,,,,ומר,c | noun sg. emphatic
sbr;,"Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 9",verb G,,,,,סבר;,verb G
msmyK,"Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 10",verb C,,,,,מסמיך,verb C
"""g)wl'","Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 11",No data,,,,,גאול',No data
"ltplh""","Masekhet: 71001, Page: 030, Side: 1, Line: 50, Word: 12",No data,,,,,לתפלה,No data
(dyP;,"Masekhet: 71001, Page: 030, Side: 1, Line: 51, Word: 0",A01,,,,,עדיף;,A01
mrymr,"Masekhet: 71001, Page: 030, Side: 1, Line: 51, Word: 1",No data,,,,,מרימר,No data
wmr zwTr),"Masekhet: 71001, Page: 030, Side: 1, Line: 51, Word: 2",c,,,,,ומר זוטרא,c
b$bt),"Masekhet: 71001, Page: 030, Side: 1, Line: 51, Word: 3",p02,noun sg. emphatic,,,,בשבתא,p02 | noun sg. emphatic
drygl),"Masekhet: 71001, Page: 030, Side: 1, Line: 51, Word: 4",p,noun sg. emphatic,,,,דריגלא,p | noun sg. emphatic
hww,"Masekhet: 71001, Page: 030, Side: 1, Line: 51, Word: 5",verb G,,,,,הוו,verb G
myknpy,"Masekhet: 71001, Page: 030, Side: 1, Line: 51, Word: 6",verb Dt,,,,,מיכנפי,verb Dt
by ($r),"Masekhet: 71001, Page: 030, Side: 1, Line: 51, Word: 7",p,n01,,,,בי עשרא,p | n01
wmcly,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 0",c,verb D,,,,ומצלי,c | verb D
wnpqy,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 1",c,verb G,,,,ונפקי,c | verb G
lpyrq);,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 2",p03,noun sg. emphatic,,,,לפירקא;,p03 | noun sg. emphatic
rb,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 3",noun sg. emphatic,,,,,רב,noun sg. emphatic
)$y,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 4",No data,,,,,אשי,No data
b$bt),"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 5",p02,noun sg. emphatic,,,,בשבתא,p02 | noun sg. emphatic
drygl),"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 6",p,noun sg. emphatic,,,,דריגלא,p | noun sg. emphatic
hwh,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 7",verb G,,,,,הוה,verb G
npyq,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 8",verb G,,,,,נפיק,verb G
lpyrq);,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 9",p03,noun sg. emphatic,,,,לפירקא;,p03 | noun sg. emphatic
ky,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 10",c,,,,,כי,c
hwh,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 11",verb G,,,,,הוה,verb G
mTy,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 12",verb G,,,,,מטי,verb G
"""q'$""","Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 13",No data,,,,,ק'ש,No data
qry,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 14",verb G,,,,,קרי,verb G
wmcly,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 15",c,verb D,,,,ומצלי,c | verb D
bhdy,"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 16",p01,,,,,בהדי,p01
cybwr),"Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 17",noun sg. emphatic,,,,,ציבורא,noun sg. emphatic
"""myw$b"";","Masekhet: 71001, Page: 030, Side: 1, Line: 52, Word: 18",No data,,,,,מיושב;,No data
wky,"Masekhet: 71001, Page: 030, Side: 1, Line: 53, Word: 0",c,c,,,,וכי,c | c
hwh,"Masekhet: 71001, Page: 030, Side: 1, Line: 53, Word: 1",verb G,,,,,הוה,verb G
)ty,"Masekhet: 71001, Page: 030, Side: 1, Line: 53, Word: 2",verb G,,,,,אתי,verb G
lbytyh,"Masekhet: 71001, Page: 030, Side: 1, Line: 53, Word: 3",p03,noun sg. emphatic,,,,לביתיה,p03 | noun sg. emphatic
hdr,"Masekhet: 71001, Page: 030, Side: 1, Line: 53, Word: 4",verb G,,,,,הדר,verb G
mcly;,"Masekhet: 71001, Page: 030, Side: 1, Line: 53, Word: 5",verb D,,,,,מצלי;,verb D
