text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon
gywrt);,"Masekhet: 71001, Page: 008, Side: 2, Line: 19, Word: 4",A,,,,,גיורתא;,A
drb,"Masekhet: 71001, Page: 008, Side: 2, Line: 24, Word: 0",p,noun sg. emphatic,,,,דרב,p | noun sg. emphatic
pp),"Masekhet: 71001, Page: 008, Side: 2, Line: 24, Word: 1",No data,,,,,פפא,No data
)zl,"Masekhet: 71001, Page: 008, Side: 2, Line: 24, Word: 2",verb G,,,,,אזל,verb G
lby,"Masekhet: 71001, Page: 008, Side: 2, Line: 24, Word: 3",p03,noun sg. abs. or construct,,,,לבי,p03 | noun sg. abs. or construct
"""gwy"";","Masekhet: 71001, Page: 008, Side: 2, Line: 24, Word: 4",No data,,,,,גוי;,No data
wl),"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 0",c,a,,,,ולא,c | a
)mrN,"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 1",verb G,,,,,אמרן,verb G
)l),"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 2",c,,,,,אלא,c
dl),"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 3",c,a,,,,דלא,c | a
dry,"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 4",verb G,,,,,דרי,verb G
mydy,"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 5",R,,,,,מידי,R
)bl,"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 6",No data,,,,,אבל,No data
dry,"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 7",verb G,,,,,דרי,verb G
mydy,"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 8",R,,,,,מידי,R
lyt,"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 9",V,,,,,לית,V
lN,"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 10",p02,,,,,לן,p02
bh;,"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 11",p02,,,,,בה;,p02
^w^l),"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 12",c,a,,,,ולא,c | a
)mrN,"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 13",verb G,,,,,אמרן,verb G
)l),"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 14",c,,,,,אלא,c
dl) )yk),"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 15",c,a,,,,דלא איכא,c | a
ptx),"Masekhet: 71001, Page: 008, Side: 2, Line: 29, Word: 16",noun sg. emphatic,,,,,פתחא,noun sg. emphatic
)xryn);,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 0",R,,,,,אחרינא;,R
)bl,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 1",No data,,,,,אבל,No data
)yk),"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 2",a,,,,,איכא,a
pytx),"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 3",noun sg. emphatic,,,,,פיתחא,noun sg. emphatic
)xryn),"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 4",R,,,,,אחרינא,R
lyt,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 5",V,,,,,לית,V
lN,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 6",p02,,,,,לן,p02
bh;,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 7",p02,,,,,בה;,p02
wl),"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 8",c,a,,,,ולא,c | a
)mrN,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 9",verb G,,,,,אמרן,verb G
)l),"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 10",c,,,,,אלא,c
dl),"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 11",c,a,,,,דלא,c | a
rkyb,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 12",verb G,,,,,רכיב,verb G
xmr);,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 13",noun sg. emphatic,,,,,חמרא;,noun sg. emphatic
)bl,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 14",No data,,,,,אבל,No data
rkyb,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 15",verb G,,,,,רכיב,verb G
