text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
dyyN,"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 9",verb G,,,,,to judge,to bring a lawsuit,to determine,,דיין,dwn,verb peal,to judge | to bring a lawsuit | to determine,0.04245504928228018,18,,62
bkny$t),"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 10",p02,noun sg. emphatic,,,,"in, with",assembling,,,בכנישתא,kny$h,preposition with pronominal suffix | noun sg. emphatic,"in, with | assembling",0.03557044669596448,18,,62
m{dr}<rdt>),"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 11",A02,,,,,rebellious,,,,מרדתא,mrd,adjective singular determined,rebellious,0.003442301293157852,18,,62
dqysryN,"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 12",p,GN Geographic name,,,,,,,,דקיסרין,qysryN,preposition | geographical name Geographic name,,0.05048708563298184,18,,62
lgrmyh,"Masekhet: 5330034, Page: 18, Side: a, Line: 63, Word: 0",noun sg. emphatic,p03,,,,bone; self,,,,לגרמיה,l_,noun sg. emphatic | preposition proclitic,bone; self,5.087721311287306,18,,63
)mryN,"Masekhet: 5330034, Page: 18, Side: a, Line: 63, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,18,,63
lyh,"Masekhet: 5330034, Page: 18, Side: a, Line: 63, Word: 2",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,18,,63
tlmydwy,"Masekhet: 5330034, Page: 18, Side: a, Line: 63, Word: 3",noun pl. emphatic,,,,,student,,,,תלמידוי,tlmyd,noun pl. emphatic,student,0.10441647255912154,18,,63
wl),"Masekhet: 5330034, Page: 18, Side: a, Line: 63, Word: 4",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also",5.046413695769412,18,,63
kN,"Masekhet: 5330034, Page: 18, Side: a, Line: 63, Word: 5",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so",0.489954217392801,18,,63
)lpN,"Masekhet: 5330034, Page: 18, Side: a, Line: 63, Word: 6",verb D,,,,,to teach (w. double object of learner and subject),to make accustomed to,,,אלפן,)lp,verb pael,to teach (w. double object of learner and subject) | to make accustomed to,0.03557044669596448,18,,63
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 63, Word: 7",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,63
""")l","Masekhet: 5330034, Page: 18, Side: a, Line: 63, Word: 8",No data,,,,,,,,,אל,None,No data,,23.98480797695953,18,,63
th),"Masekhet: 5330034, Page: 18, Side: a, Line: 63, Word: 9",No data,,,,,,,,,תהא,None,No data,,23.98480797695953,18,,63
