text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
bd),"Masekhet: 5330019, Page: 61, Side: c, Line: 39, Word: 6",verb G,,,,,"to contrive, to invent",: it does not to refer to,to chatter,,בדא,bdy,verb peal,"to contrive, to invent | : it does not to refer to | to chatter",0.03212814540280662,61,,39
khd),"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 0",P01,p02,,,,this (f.),like,,,כהדא,k_,preposition independent | preposition with pronominal suffix,this (f.) | like,0.41881332400087207,61,,40
tlmydwy,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 1",noun pl. emphatic,,,,,student,,,,תלמידוי,tlmyd,noun pl. emphatic,student,0.10441647255912154,61,,40
dr',"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 2",c,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,conjunction | noun,chief; teacher,4.462369909696963,61,,40
ywsy,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 3",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,,0.37406340718981995,61,,40
hwwN,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 4",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוון,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,61,,40
ytybyN,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 5",verb G,,,,,to sit,to dwell,to settle down,to be inhabited,יתיבין,ytb,verb peal,to sit | to dwell | to settle down | to be inhabited,0.162935594542805,61,,40
nplt,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 6",verb G,,,,,to fall,"to befall, occur",:,:,נפלת,npl,verb peal,"to fall | to befall, occur | : | :",0.03557044669596448,61,,40
mnrt),"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 7",noun sg. emphatic,,,,,lampstand,,,,מנרתא,mnrh,noun sg. emphatic,lampstand,0.003442301293157852,61,,40
qwmyhwN,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 8",p02 C,,,,,before,,,,קומיהון,qwmy,preposition with pronominal suffix (h)aphel,before,0.5392938692613969,61,,40
whwh,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 9",verb G,c,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,והוה,w_,verb peal | conjunction,"to be | to endure, to exist | to come to pass, to happen | in idioms:",5.046413695769412,61,,40
kl,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 10",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every",0.4348773967022754,61,,40
xd,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 11",n01 C,,,,,one,,,,חד,xd,numeral singular absolute or construct (h)aphel,one,0.8158254064784111,61,,40
wxd,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 12",c,n01 C,,,,"and, also",one,,,וחד,xd,conjunction | numeral singular absolute or construct (h)aphel,"and, also | one",0.8158254064784111,61,,40
$myT,"Masekhet: 5330019, Page: 61, Side: c, Line: 40, Word: 13",verb G,,,,,to draw out,"to snatch away, pluck out",to lie fallow,to be(come) detached,שמיט,$mT,verb peal,"to draw out | to snatch away, pluck out | to lie fallow | to be(come) detached",0.004589735057543803,61,,40
grmyh,"Masekhet: 5330019, Page: 61, Side: c, Line: 41, Word: 0",noun sg. emphatic,,,,,bone; self,,,,גרמיה,grm,noun sg. emphatic,bone; self,0.07573062844947274,61,,41
w(rq,"Masekhet: 5330019, Page: 61, Side: c, Line: 41, Word: 1",verb G,c,,,,to flee,"to avoid, stay away",,,וערק,w_,verb peal | conjunction,"to flee | to avoid, stay away",5.046413695769412,61,,41
r',"Masekhet: 5330019, Page: 61, Side: c, Line: 42, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,61,,42
)x),"Masekhet: 5330019, Page: 61, Side: c, Line: 42, Word: 1",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,,0.14113435301947194,61,,42
$m(,"Masekhet: 5330019, Page: 61, Side: c, Line: 42, Word: 2",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,61,,42
lh,"Masekhet: 5330019, Page: 61, Side: c, Line: 42, Word: 3",p01,,,,,,,,,לה,l_,preposition independent,,5.087721311287306,61,,42
mN,"Masekhet: 5330019, Page: 61, Side: c, Line: 42, Word: 4",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,61,,42
hd),"Masekhet: 5330019, Page: 61, Side: c, Line: 42, Word: 5",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.),0.6471526431136763,61,,42
wrbnN,"Masekhet: 5330019, Page: 61, Side: c, Line: 43, Word: 0",noun pl. emphatic,c,,,,chief; teacher,"and, also",,,ורבנן,w_,noun pl. emphatic | conjunction,"chief; teacher | and, also",5.046413695769412,61,,43
$m(yN,"Masekhet: 5330019, Page: 61, Side: c, Line: 43, Word: 1",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמעין,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,61,,43
lh,"Masekhet: 5330019, Page: 61, Side: c, Line: 43, Word: 2",p01,,,,,,,,,לה,l_,preposition independent,,5.087721311287306,61,,43
mN,"Masekhet: 5330019, Page: 61, Side: c, Line: 43, Word: 3",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,61,,43
hd),"Masekhet: 5330019, Page: 61, Side: c, Line: 43, Word: 4",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.),0.6471526431136763,61,,43
"""mhw","Masekhet: 5330019, Page: 61, Side: c, Line: 57, Word: 0",No data,,,,,,,,,מהו,None,No data,,23.98480797695953,61,,57
"twwds""","Masekhet: 5330019, Page: 61, Side: c, Line: 57, Word: 1",No data,,,,,,,,,תוודס,None,No data,,23.98480797695953,61,,57
)m',"Masekhet: 5330019, Page: 61, Side: c, Line: 57, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,61,,57
r',"Masekhet: 5330019, Page: 61, Side: c, Line: 57, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,61,,57
