text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
btryh,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 1",p02 C,,,,,after,,,,בתריה,btr,preposition with pronominal suffix (h)aphel,after,0.08491009856456036,18,,11
)rb(yN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 2",n01 C,,,,,forty,,,,ארבעין,)rb(yn,numeral singular absolute or construct (h)aphel,forty,0.008032036350701655,18,,11
zymnyN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 3",noun pl. absolute,,,,,set time; instance,,,,זימנין,zmn,noun pl. absolute,set time; instance,0.10326903879473559,18,,11
rbnyN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 4",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher,1.192183681197003,18,,11
dqysryN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 5",p,GN Geographic name,,,,,,,,דקיסרין,qysryN,preposition | geographical name Geographic name,,0.05048708563298184,18,,11
l),"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 6",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,18,,11
)mryN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 7",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,18,,11
kN,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 8",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so",0.489954217392801,18,,11
)l),"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 9",c,,,,,but rather,,,,אלא,)l),conjunction,but rather,0.3545570331952588,18,,11
$mw)l,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 10",PN Personal name,,,,,,,,,שמואל,$mw)l,proper name Personal name,,0.1732624984222786,18,,11
$)yl,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 11",verb G,,,,,to ask,to ask for something,,,שאיל,$)l,verb peal,to ask | to ask for something,0.2604674645156108,18,,11
lrb,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 0",p03,noun sg. abs. or construct,,,,chief; teacher,,,,לרב,rb,preposition proclitic | noun sg. abs. or construct,chief; teacher,1.192183681197003,18,,12
"""kmh","Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 1",No data,,,,,,,,,כמה,None,No data,,23.98480797695953,18,,12
yh),"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 2",No data,,,,,,,,,יהא,None,No data,,23.98480797695953,18,,12
)wrkN,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 3",No data,,,,,,,,,אורכן,None,No data,,23.98480797695953,18,,12
ywtr,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 4",No data,,,,,,,,,יותר,None,No data,,23.98480797695953,18,,12
(l,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 5",No data,,,,,,,,,על,None,No data,,23.98480797695953,18,,12
"rxbN""","Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 6",No data,,,,,,,,,רחבן,None,No data,,23.98480797695953,18,,12
)gyb,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 7",verb C,,,,,to answer,,,,אגיב,gwb,verb (h)aphel,to answer,0.03327557916719257,18,,12
w)mr,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 8",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,ואמר,w_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,5.046413695769412,18,,12
lyh,"Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 9",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,18,,12
"""kl","Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 10",No data,,,,,,,,,כל,None,No data,,23.98480797695953,18,,12
"$hw)""","Masekhet: 5330013, Page: 18, Side: d, Line: 12, Word: 11",No data,,,,,,,,,שהוא,None,No data,,23.98480797695953,18,,12
