text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
wnstwN,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 2",verb G,c,,,,"to lift up, pick up","to take, take away",,,ונסתון,w_,verb peal | conjunction,"to lift up, pick up | to take, take away",5.046413695769412,08,,01
)zl,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 3",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",אזל,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)",0.279973838510172,08,,01
$)yl,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 4",verb G,,,,,to ask,to ask for something,,,שאיל,$)l,verb peal,to ask | to ask for something,0.2604674645156108,08,,01
lrb,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 5",p03,PN Personal name,,,,,,,,לרב,rb,preposition proclitic | proper name Personal name,,1.192183681197003,08,,01
l),"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 6",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,08,,01
)m',"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 7",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,08,,01
lyh,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 8",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,08,,01
klwM,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 9",P01,,,,,something,,,,כלום,klwm,preposition independent,something,0.14916638937017362,08,,01
)zl,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 10",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",אזל,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)",0.279973838510172,08,,01
xzr,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 11",verb G,,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,חזר,xzr,verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.),0.18014710100859427,08,,01
)m',"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 12",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,08,,01
r',"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,08,,02
b),"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 1",PN Personal name,,,,,,,,,בא,b),proper name Personal name,,0.16752532960034883,08,,02
br,"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 2",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son,0.7733703571961309,08,,02
myn),"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 3",PN Personal name,,,,,,,,,מינא,myn),proper name Personal name,,0.003442301293157852,08,,02
q$yy),"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 4",A01 C,,,,,hard,,,,קשייא,q$y,adjective singular absolute or construct (h)aphel,hard,0.11130107514543723,08,,02
lN,"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 5",p02 C,,,,,,,,,לן,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,08,,02
hwyt),"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 6",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הויתא,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,08,,02
xzr,"Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 7",verb G,,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,חזר,xzr,verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.),0.18014710100859427,08,,02
"""wtyytr","Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 8",No data,,,,,,,,,ותייתר,None,No data,,23.98480797695953,08,,02
"mmcy)tw""","Masekhet: 5330032, Page: 08, Side: a, Line: 02, Word: 9",No data,,,,,,,,,ממציאתו,None,No data,,23.98480797695953,08,,02
l),"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,08,,05
dmr,"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 1",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דמר,d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,1.2495553694163004,08,,05
r',"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,08,,05
$m(wN,"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 3",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,,0.29948021250473317,08,,05
)kN,"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 4",a01 C,,,,,"so, thus",,,,אכן,hkyn,a01 (h)aphel,"so, thus",0.18588426983052403,08,,05
)l),"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 5",c,,,,,but rather,,,,אלא,)l),conjunction,but rather,0.3545570331952588,08,,05
dq$y,"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 6",c,verb D,,,,to harden,to treat hard,to do with great difficulty,to make heavy,דקשי,q$y,conjunction | verb pael,to harden | to treat hard | to do with great difficulty | to make heavy,0.11130107514543723,08,,05
lyh,"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 7",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,08,,05
(l,"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 8",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to,0.9638443620841988,08,,05
hd),"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 9",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.),0.6471526431136763,08,,05
dtny,"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 10",c,verb G,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתני,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,08,,05
r',"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 11",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,08,,05
hw$(yh,"Masekhet: 5330032, Page: 08, Side: a, Line: 05, Word: 12",PN Personal name,,,,,,,,,הושעיה,hw$(yh,proper name Personal name,,0.055076820690525635,08,,05
lpwM,"Masekhet: 5330032, Page: 08, Side: a, Line: 18, Word: 0",p,,,,,in proportion to,,,,לפום,lpm lpm p01 C,preposition,in proportion to,0.026390976580876867,08,,18
kN,"Masekhet: 5330032, Page: 08, Side: a, Line: 18, Word: 1",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so",0.489954217392801,08,,18
crK,"Masekhet: 5330032, Page: 08, Side: a, Line: 18, Word: 2",verb G,,,,,to be in want,to need,to be necessary,to be in doubt,צרך,crk,verb peal,to be in want | to need | to be necessary | to be in doubt,0.034423012931578525,08,,18
mtnyt',"Masekhet: 5330032, Page: 08, Side: a, Line: 18, Word: 3",noun sg. emphatic,,,,,tannaitic tradition,,,,מתנית',mtny,noun sg. emphatic,tannaitic tradition,0.3614416357815745,08,,18
d)yqny,"Masekhet: 5330032, Page: 08, Side: a, Line: 23, Word: 0",c,verb G,,,,to acquire,,,,דאיקני,qny,conjunction | verb peal,to acquire,0.004589735057543803,08,,23
""")ynh","Masekhet: 5330032, Page: 08, Side: a, Line: 23, Word: 1",No data,,,,,,,,,אינה,None,No data,,23.98480797695953,08,,23
gwbh,"Masekhet: 5330032, Page: 08, Side: a, Line: 23, Word: 2",No data,,,,,,,,,גובה,None,No data,,23.98480797695953,08,,23
"mm$w(bdyN""","Masekhet: 5330032, Page: 08, Side: a, Line: 23, Word: 3",No data,,,,,,,,,ממשועבדין,None,No data,,23.98480797695953,08,,23
h),"Masekhet: 5330032, Page: 08, Side: a, Line: 23, Word: 4",I01 C,,,,,here! look!,,,,הא,h),I01 (h)aphel,here! look!,0.13539718419754218,08,,23
mbny xry,"Masekhet: 5330032, Page: 08, Side: a, Line: 23, Word: 5",noun pl. emphatic,,,,,"free, free individual",,,,מבני חרי,br@xyryn,noun pl. emphatic,"free, free individual",0.0011474337643859508,08,,23
gby,"Masekhet: 5330032, Page: 08, Side: a, Line: 23, Word: 6",p01 C,,,,,"at the side of, together with",,,,גבי,gb,preposition independent (h)aphel,"at the side of, together with",0.22489701781964636,08,,23
l),"Masekhet: 5330032, Page: 08, Side: a, Line: 24, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,08,,24
dmy,"Masekhet: 5330032, Page: 08, Side: a, Line: 24, Word: 1",verb G,,,,,to be like,ptcp. :,,,דמי,dmy,verb peal,to be like | ptcp. :,0.07458319468508681,08,,24
